ЮРИДИЧЕСКИЕ ЛИЦА ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ,2017,2018,2019,2020,2021

Юридические лица,142610,141418,142108,142685,143232

сельское лесное и рыбное хозяйство,5149,5081,5219,5277,5497

промышленность,16751,16316,16351,16386,16391

строительство,11595,10521,10252,10043,10036

оптовая и розничная торговля; ремонт автомобилей и мотоциклов,44169,42197,41642,41123,39913

транспортная деятельность; складирование; почтовая и курьерская деятельность,11744,11868,11538,11281,10937

услуги по временному проживанию и питанию,3026,3298,3545,3904,4158

информация и связь,3539,3818,4304,4590,4780

финансовая и страховая деятельность,662,608,607,624,615

операции с недвижимым имуществом,8809,9652,9970,10163,10865

профессиональная; научная и техническая деятельность,6605,6710,6765,6922,7062

деятельность в сфере административных и вспомогательных услуг,4038,4090,4179,4322,4594

государственное управление,4000,3889,3902,3886,3880

образование,8771,8751,8897,8992,9141

здравоохранение и социальные услуги,2082,2127,2186,2251,2294

творчество; спорт; развлечения и отдых,2677,2902,2935,2964,2981

предоставление прочих видов услуг,8993,9590,9816,9957,10088
