Функциональная классификация,млн. грн.,Процент
Общегосударственные функции (без учета обслуживания гос. долга),206643.1,3.43
Обслуживание госдолга,155651.8,10.44
Оборона,127527.3,8.56
Общественный порядок. безопасность. судебная власть,174409.6,11.70
Экономическая деятельность,180989.9,12.14
Охрана окружающей среды,8200.2,0.55
Жилищно-коммунальное хозяйство,164.1,0.01
Здравоохранение,170505.2,11.44
Духовное и физическое развитие,15970.3,1.07
Образование,63837.1,4.28
Социальная защита и социальное обеспечение (без учета соц. Защиты пенсионеров),339278.9,9.27
Социальная защита пенсионеров,201161.8,13.50
Межбюджетные трансферты,202733.3,13.60
