Date,pcs
1970,839.5
1971,908.9
1972,993.7
1973,1088.7
1974,1195.4
1975,1327.3
1976,1462.2
1977,1615.1
1978,1793.0
1979,1990.1
1980,2204.3
1981,2441.0
1982,2625.8
1983,2877.0
1984,3127.1
1985,3403.5
1986,3624.3
1987,3853.2
1988,4150.5
1989,4458.2
1990,4757.2
1991,4948.3
1992,5245.9
1993,5525.0
1994,5829.1
1995,6104.3
1996,6417.5
1997,6757.3
1998,7144.9
1999,7635.2
2000,8204.8
2001,8612.0
2002,8994.8
2003,9487.1
2004,10083.9
2005,10731.1
2006,11350.2
2007,11945.1
2008,12403.5
2009,12324.6
2010,12771.3
2011,13210.2
2012,13562.8
2013,13896.2
2014,14414.0
2015,14872.5
2016,15356.4
2017,15969.8
2018,16782.9
2019,17402.6
2020,17125.6
